log,n_traces,n_variants,ratio_variants_per_number_of_traces,n_events,trace_len_min,trace_len_max,trace_len_mean,trace_len_median,trace_len_mode,trace_len_std,trace_len_variance,trace_len_q1,trace_len_q3,trace_len_iqr,trace_len_geometric_mean,trace_len_geometric_std,trace_len_harmonic_mean,trace_len_skewness,trace_len_kurtosis,trace_len_coefficient_variation,trace_len_entropy,trace_len_hist1,trace_len_hist2,trace_len_hist3,trace_len_hist4,trace_len_hist5,trace_len_hist6,trace_len_hist7,trace_len_hist8,trace_len_hist9,trace_len_hist10,trace_len_skewness_hist,trace_len_kurtosis_hist,ratio_most_common_variant,ratio_top_1_variants,ratio_top_5_variants,ratio_top_10_variants,ratio_top_20_variants,ratio_top_50_variants,ratio_top_75_variants,mean_variant_occurrence,std_variant_occurrence,skewness_variant_occurrence,kurtosis_variant_occurrence,coverage_variants,rel_coverage_variants,heterogeneity_rate_variants,similarity_rate_variants,n_unique_activities,activities_min,activities_max,activities_mean,activities_median,activities_std,activities_variance,activities_q1,activities_q3,activities_iqr,activities_skewness,activities_kurtosis,n_unique_start_activities,start_activities_min,start_activities_max,start_activities_mean,start_activities_median,start_activities_std,start_activities_variance,start_activities_q1,start_activities_q3,start_activities_iqr,start_activities_skewness,start_activities_kurtosis,rel_unique_start_activities,n_unique_end_activities,end_activities_min,end_activities_max,end_activities_mean,end_activities_median,end_activities_std,end_activities_variance,end_activities_q1,end_activities_q3,end_activities_iqr,end_activities_skewness,end_activities_kurtosis,rel_unique_end_activities,eventropy_trace,eventropy_prefix,eventropy_prefix_flattened,eventropy_global_block,eventropy_global_block_flattened,eventropy_lempel_ziv,eventropy_lempel_ziv_flattened,eventropy_k_block_diff_1,eventropy_k_block_diff_3,eventropy_k_block_diff_5,eventropy_k_block_ratio_1,eventropy_k_block_ratio_3,eventropy_k_block_ratio_5,eventropy_knn_3,eventropy_knn_5,eventropy_knn_7,epa_variant_entropy,epa_normalized_variant_entropy,epa_sequence_entropy,epa_normalized_sequence_entropy,epa_sequence_entropy_linear_forgetting,epa_normalized_sequence_entropy_linear_forgetting,epa_sequence_entropy_exponential_forgetting,epa_normalized_sequence_entropy_exponential_forgetting,simple_trace_diversity,advanced_trace_diversity,distinct_activities_min,distinct_activities_max,distinct_activities_mean,distinct_activities_std,event_density,distinct_activities_non_overlap,complexity_factor,n_traces_with_loop,avg_traces_with_loop,avg_loops_per_trace,max_loops_per_trace,avg_loop_size_per_trace,max_loop_size_per_trace,n_traces_with_repetition,avg_traces_with_repetition,number_of_successions,number_of_ties,structure,average_affinity,lempel_ziv_complexity,deviation_from_random,n_nodes_dfg,n_edges_dfg,coeff_of_connectivity_dfg,avg_node_degree_dfg,max_node_degree_dfg,density_dfg,structure_dfg,cyclomatic_number_dfg,n_cut_vertices_dfg,separability_ratio_dfg,sequentiality_ratio_dfg,cyclicity_dfg,average_edit_distance
pdc2025_00010111.xes,1000,781,0.781,13544,11,16,13.544,14.0,14,0.9623221913683588,0.9260640000000002,13.0,14.0,1.0,13.509644109361687,1.074060478446509,13.475124277788815,-0.0003653975020748,-0.5713506490980653,0.0710515498647636,6.905225907894735,0.01,0.0,0.28,0.0,0.672,0.0,0.706,0.0,0.314,0.018,0.9776537676445398,-0.6529724864040092,0.008,0.047,0.172,0.255,0.375,0.609,0.804,1.2804097311139564,0.8509919412691576,4.23007498164277,20.622687100427203,800,1.0243277848911652,0.9642170112924336,0.4480536922886595,15,490,1514,902.9333333333332,999.0,270.38551900737747,73108.32888888888,756.5,1002.5,246.0,-0.0398501101607233,-0.0152076613623863,10,1,983,100.0,1.0,294.33654207386485,86634.0,1.0,3.5,2.5,2.666557790398014,5.110771772415239,0.0128040973111395,7,1,986,142.85714285714286,2.0,344.2139818573941,118483.26530612244,1.5,4.0,2.5,2.041182927635325,2.166539047467273,0.0089628681177976,9.41,10.382,10.579,11.899,12.128,1.506,1.876,3.839,1.463,0.961,3.839,2.402,1.874,4.45,4.046,3.782,35531.39039260725,0.7670506255879262,74337.61440016897,0.5769155851263392,37540.18365215708,0.2913399520846771,47333.246724918296,0.3673414589717255,0.1373959373959373,0.5743527843641817,0,14,12.93906093906094,0.8628662579470897,0.9553352731143634,0.1483999223454891,225.51052944307057,45,0.045,0.045,1,1.0,1,506,0.506,187,17,0.999972129365648,0.2518468364186703,2416,0.8374148530645324,17,204,12.0,24.0,31,0.75,0.2941176470588235,188,0,0.0,0.0,0.8823529411764706,14.070478478478478
pdc2022_1200114.xes,1000,315,0.315,6571,2,33,6.571,3.0,2,5.668946903967262,32.136959000000004,2.0,10.0,8.0,4.600915228067909,2.3250416339898847,3.402659429155967,1.37779383125589,1.9535361654265664,0.8627220976970419,6.578518085807605,0.1693548387096774,0.0554838709677419,0.0461290322580645,0.0216129032258064,0.0125806451612903,0.0093548387096774,0.0032258064516129,0.002258064516129,0.0012903225806451,0.0012903225806451,2.0649337497088,3.0959706474045383,0.43,0.492,0.624,0.682,0.748,0.842,0.921,3.1746031746031744,24.291052427120828,17.233871670244117,299.6375142400681,800,2.5396825396825395,0.8327701845965335,0.4433101375955708,14,28,1228,469.3571428571428,373.5,377.9534376353893,142848.80102040814,164.75,730.0,565.25,0.6589578012203537,-0.7453471596443899,6,1,973,166.66666666666666,3.5,360.6515708485901,130069.55555555558,1.25,14.75,13.5,1.787781912864774,1.1980590491444687,0.019047619047619,6,1,706,166.66666666666666,43.0,248.5381705537848,61771.22222222223,23.5,153.25,129.75,1.5780670618805728,0.770052453395301,0.019047619047619,5.251,7.962,9.116,10.551,10.995,1.158,1.775,3.32,1.135,0.73,3.32,1.984,1.521,3.909,3.48,3.204,10273.611157292302,0.7252900056941157,26915.21769775655,0.4659686935246378,13647.39657485466,0.2362700396262335,17157.4029698988,0.2970368932526179,0.6609105180533752,1.3561117043218964,0,11,4.747252747252747,3.080189503533389,0.7224551433956395,0.4936164973736897,44.50575565617632,105,0.105,0.109,2,1.0380952380952382,1,399,0.399,102,20,0.999798437893676,0.2952132244517661,1166,0.7790419510126532,16,114,7.125,14.25,22,0.475,0.5546875,99,0,0.0,0.0,0.6875,9.46383983983984
pdc2022_0110011.xes,1000,280,0.28,6189,1,20,6.189,6.0,5,3.0641930422217203,9.389279,5.0,8.0,3.0,5.39618872934204,1.7525102248644189,4.503978284098267,0.9991645681400706,2.059599225224841,0.4951030929425949,6.787553585644314,0.0863157894736842,0.0168421052631578,0.2447368421052632,0.0768421052631578,0.0584210526315789,0.0226315789473684,0.0089473684210526,0.0073684210526315,0.0021052631578947,0.0021052631578947,1.8822277527263256,2.5692748360290265,0.145,0.185,0.542,0.674,0.754,0.86,0.93,3.571428571428572,10.705567881876672,9.090145332315764,108.171300454759,800,2.857142857142857,0.8157193437807397,0.3944785794587659,13,199,1196,476.0769230769231,381.0,296.7696494793074,88072.224852071,228.0,714.0,486.0,1.0227032801907896,0.1242727279217645,6,1,969,166.66666666666666,6.0,358.8614712609249,128781.5555555556,1.25,15.25,14.0,1.7878015530250615,1.1981044639565184,0.0214285714285714,12,1,364,83.33333333333333,4.0,120.63397347163676,14552.55555555556,2.0,198.5,196.5,1.1060821313252298,-0.1684729439886378,0.0428571428571428,6.337,6.22,7.639,8.53,9.429,0.826,1.903,3.444,0.889,0.679,3.444,1.854,1.4,3.812,3.383,3.114,4630.748210700836,0.784323767117183,18985.03050426464,0.3513583404703493,9505.907333850568,0.175927019171046,12026.443109825588,0.2225748908794318,0.5886421271036655,1.0321361164949423,0,10,5.347652347652348,2.0520248967398382,0.8640575775815718,0.5983930815285663,67.86365884213926,33,0.033,0.033,1,1.0,1,368,0.368,119,21,0.9997321428571428,0.1998259677950994,1120,0.7573693567430503,15,137,9.133333333333333,18.266666666666666,26,0.6523809523809524,0.3911111111111111,123,0,0.0,0.0,0.8666666666666667,7.810308308308309
pdc2021_0210100.xes,1000,396,0.396,22500,3,176,22.5,6.0,3,27.525551765586822,757.656,4.0,38.0,34.0,10.922352576714747,3.3133181129163347,6.427504252938298,1.697120194100626,2.902303649388696,1.2233578562483034,6.293414374514215,0.0377456647398843,0.0054913294797687,0.0064161849710982,0.0042774566473988,0.0021387283236994,0.0008670520231213,0.0005202312138728,0.0001734104046242,0.0001156069364161,5.780346820809254e-05,2.4625034075887284,4.456879291408246,0.196,0.498,0.619,0.643,0.683,0.802,0.901,2.525252525252525,14.844883779645444,11.726137419185628,141.63454865933662,800,2.0202020202020203,0.8658983953085041,0.2681075305084958,63,35,1150,357.1428571428572,279.0,255.82141943053904,65444.59863945578,195.0,440.5,245.5,1.217823284114365,0.8522371281626535,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0025252525252525,3,48,554,333.3333333333333,398.0,211.5739954615301,44763.55555555556,223.0,476.0,253.0,-0.4299152564349192,-1.5000000000000002,0.0075757575757575,5.815,12.052,12.788,17.907,17.993,2.032,2.312,5.639,1.059,0.967,5.639,2.6,1.947,4.794,4.293,3.98,82570.00899059016,0.5978921187869238,118712.23468664831,0.5264900566224724,59327.478325945245,0.2631180139565554,75323.8137332037,0.3340619360935614,0.7732426303854876,2.109697253832275,0,46,14.285714285714286,12.94984892294727,0.634920634920635,0.661831512038344,164.68258684328242,0,0.0,0.0,0,0.0,0,428,0.428,143,103,0.9993431792674216,0.2041054694553275,3957,0.8921676391153706,65,147,2.261538461538461,4.523076923076923,14,0.0353365384615384,0.965207100591716,83,4,0.0615384615384615,0.0307692307692307,0.6923076923076923,35.82700900900901
pdc2021_0010004.xes,1000,279,0.279,12998,4,33,12.998,15.0,6,8.181564398084268,66.937996,6.0,19.0,13.0,10.285342170779304,2.0371624266409456,8.089971911306518,0.3526503684956726,-1.2759726081207556,0.6294479456904345,6.703985898512567,0.1499999999999999,0.0172413793103448,0.0,0.0203448275862068,0.0620689655172413,0.0282758620689655,0.0341379310344827,0.0220689655172413,0.0072413793103448,0.0034482758620689,1.9640851908620849,2.8064697159070717,0.193,0.298,0.551,0.65,0.75,0.86,0.93,3.584229390681004,14.372386233848117,10.346210401829204,119.23307784776009,800,2.867383512544803,0.8152014010911992,0.3730831449466003,50,53,1023,259.96,241.5,198.71889291156995,39489.1984,126.25,389.25,263.0,2.2033001740663605,5.948146686962643,9,1,983,111.11111111111111,2.0,308.26231414330823,95025.65432098764,1.0,4.0,3.0,2.4747796503065613,4.124733495857014,0.032258064516129,12,1,510,83.33333333333333,2.0,162.11535673368172,26281.38888888888,1.0,34.0,33.0,1.7996740575365446,1.6662800845870065,0.043010752688172,6.01,8.064,9.159,11.559,12.286,0.833,1.797,5.307,0.482,0.28,5.307,2.147,1.398,3.208,2.867,2.667,11331.962049683472,0.7031383947427997,46910.88347342021,0.3810045283653518,23755.671765536128,0.1929406962066387,29884.214940420585,0.2427159834965608,0.7442157842157842,1.1364787030150834,0,33,12.78921078921079,8.171642902672305,0.9839368202193252,0.6848190133147106,206.9919765410941,43,0.043,0.043,1,1.0,1,153,0.153,303,177,0.9977261340424712,0.2135622900662999,1874,0.847791463802085,52,324,6.230769230769231,12.461538461538462,37,0.1221719457013574,0.8801775147928994,273,0,0.0,0.0,0.9615384615384616,17.541457457457458
pdc2022_1200000.xes,1000,201,0.201,6431,2,39,6.431,2.0,2,5.323461186108151,28.339239000000003,2.0,9.0,7.0,4.508946086176893,2.351511742987475,3.296270836389716,1.244775071187957,2.4371339514565173,0.8277812449242965,6.591177806322633,0.1375675675675675,0.0664864864864864,0.0321621621621621,0.0208108108108108,0.0091891891891891,0.0029729729729729,0.0005405405405405,0.0,0.0,0.0005405405405405,1.7817619531138775,1.9776386458341892,0.509,0.542,0.665,0.744,0.811,0.899,0.949,4.975124378109452,35.85618562912266,13.82189536421609,191.25035889431044,800,3.9800995024875614,0.767732019140163,0.4631566080875855,17,79,1000,378.2941176470589,292.0,284.36570586355924,80863.85467128028,170.0,491.0,321.0,1.0105530268727734,-0.1152125945182489,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0049751243781094,5,79,509,200.0,161.0,159.18793924163978,25340.8,81.0,170.0,89.0,1.287105280574372,-0.0304301582770882,0.0248756218905472,4.315,6.99,8.341,10.058,10.692,0.761,1.619,3.709,0.997,0.612,3.709,1.917,1.444,3.508,3.06,2.814,5365.646885674336,0.7204392263493956,22860.517833586586,0.4053807888679188,11988.752273608034,0.2125940405023097,14816.560761641553,0.2627389779001069,0.6805547393782687,1.3663528106629037,0,11,5.430569430569431,3.579191802832465,0.8444362355107186,0.5410952797983966,54.40600340254798,0,0.0,0.0,0,0.0,0,245,0.245,58,22,0.9994554590232916,0.3282518574572384,1109,0.7796150186964733,19,64,3.3684210526315788,6.7368421052631575,15,0.1871345029239766,0.8227146814404432,46,1,0.0526315789473684,0.0,0.4736842105263157,9.154772772772771
pdc2022_1011104.xes,1000,166,0.166,4065,2,8,4.065,4.0,4,1.4424891680702494,2.080775,3.0,5.0,2.0,3.7951208011457656,1.4651949994728612,3.51866357806197,0.2581960479892388,-0.5816052974630868,0.3548558839041204,6.843639530248795,0.3066666666666666,0.2733333333333333,0.0,0.4666666666666662,0.0,0.3483333333333335,0.1799999999999998,0.0,0.08,0.0116666666666666,0.4235989966222682,-1.2520074915331154,0.131,0.131,0.514,0.703,0.811,0.917,0.958,6.024096385542169,15.877904556305394,5.231388147934555,31.680036220961647,800,4.819277108433735,0.7400360293466851,0.3365195848328301,12,108,1056,338.75,248.0,248.6470473717045,61825.35416666666,212.0,336.5,124.5,1.943629049197774,2.924789434683553,12,1,966,83.33333333333333,3.5,266.1401051242663,70830.55555555553,1.0,4.25,3.25,3.0148651500448262,7.09001004601175,0.072289156626506,11,1,225,90.9090909090909,96.0,86.44015748739865,7471.900826446281,5.0,174.5,169.5,0.2725040169705656,-1.5712473366026471,0.0662650602409638,5.5,5.303,6.949,6.648,7.767,0.608,2.292,3.282,0.632,0.304,3.282,1.729,1.183,3.401,3.023,2.806,1751.4178206218758,0.8159168858890723,11630.084692732118,0.3442805359480178,5924.500463448651,0.1753805108620599,7419.89586239713,0.2196480758030025,0.6793206793206794,0.983255396628446,0,7,3.848151848151848,1.3765987276117244,0.9466548211935664,0.642670618252507,53.23259262887988,104,0.104,0.104,1,1.0,1,109,0.109,82,10,0.9996371026273768,0.1458257411090602,839,0.749800326403634,14,105,7.5,15.0,26,0.5769230769230769,0.4642857142857143,92,0,0.0,0.0,0.8571428571428571,4.87181981981982
pdc2022_1101114.xes,1000,182,0.182,4746,2,30,4.746,3.0,2,3.308698233444688,10.947484,2.0,7.0,5.0,3.8538837019009584,1.8821613356795928,3.2263035855020896,1.7220061277572545,5.158595195445823,0.6971551271480589,6.699014310364589,0.1946428571428571,0.1039285714285714,0.0382142857142857,0.0128571428571428,0.0042857142857142,0.0017857142857142,0.0007142857142857,0.0003571428571428,0.0,0.0003571428571428,1.7679206607876177,1.7333178933498772,0.392,0.392,0.609,0.717,0.82,0.909,0.954,5.494505494505495,29.343503175347315,12.57834139449312,162.4112057178052,800,4.395604395604396,0.7533571293283583,0.4159568719018335,11,57,1205,431.45454545454544,253.0,346.3380806606494,119950.06611570246,193.0,714.5,521.5,0.9231488022478525,-0.3139044986727812,5,2,969,200.0,3.0,384.5917315803864,147910.8,2.0,24.0,22.0,1.4982250091116205,0.2475894373416731,0.0274725274725274,8,1,590,125.0,62.5,183.63006289820848,33720.0,3.5,136.0,132.5,1.907796808080201,2.218188128474817,0.0439560439560439,4.817,6.356,7.898,8.075,8.815,0.721,1.814,3.021,0.909,0.463,3.021,1.78,1.279,3.333,2.975,2.711,3197.221641891242,0.7500974429815164,16058.308695063222,0.3997073728500452,8169.626093421188,0.2033501687492441,10251.891892550106,0.255179848197441,0.6521660158023794,1.375196641696142,0,8,3.826173826173826,2.096987574799951,0.8061891753421462,0.5033717674596536,37.90013091449376,102,0.102,0.102,1,1.0,1,325,0.325,73,17,0.9994867769593044,0.2654286321627577,875,0.7450594709978563,13,86,6.615384615384615,13.23076923076923,23,0.5512820512820513,0.4911242603550295,74,0,0.0,0.0,0.8461538461538461,6.424760760760761
pdc_2020_1201110.xes,1000,999,0.999,37296,9,199,37.296,33.0,20,21.66172624700072,469.230384,22.0,47.0,25.0,32.08577567924582,1.7340880151590423,27.626041966962102,1.6597726244132525,4.783533014479128,0.5808056158033227,6.759166360115716,0.0197368421052631,0.019578947368421,0.0083157894736842,0.003,0.0011052631578947,0.0006842105263157,0.0001578947368421,0.0,0.0,5.263157894736842e-05,1.2014950943864886,-0.2942597918291394,0.002,0.01,0.05,0.1,0.2,0.5,0.75,1.001001001001001,0.0316227607586212,31.559483550970967,994.0010020040068,800,0.8008008008008008,0.9998551627419942,0.2747667276337095,22,148,6652,1695.2727272727273,1186.0,1437.356670540443,2065994.198347108,928.75,1980.75,1052.0,1.895599285796158,3.97990146105041,4,105,438,250.0,228.5,142.54297597566847,20318.5,115.5,363.0,247.5,0.1751766398933687,-1.761196061827778,0.004004004004004,4,78,509,250.0,206.5,162.28832367117482,26337.5,137.25,319.25,182.0,0.6715411886529126,-1.0358354871516713,0.004004004004004,9.964,14.475,14.475,17.93,17.931,2.536,2.537,4.024,1.818,1.182,4.024,2.727,2.168,5.787,5.257,4.923,214666.251073508,0.6458603325263617,247150.45147653727,0.6295196995425886,122736.22039273044,0.3126228098027957,156482.26975318117,0.3985777523376955,0.3241758241758241,0.9613469400912156,0,21,14.868131868131869,2.801917676151367,0.3986521843664701,0.3586101878717781,130.46808518131988,278,0.278,0.325,4,1.169064748201439,1,983,0.983,311,33,0.999966933900868,0.1881818137659743,6919,0.851415569582884,24,319,13.291666666666666,26.58333333333333,45,0.5778985507246377,0.4461805555555556,296,0,0.0,0.0,0.9166666666666666,48.583663663663664
pdc2023_01001001.xes,1000,1000,1.0,34620,17,186,34.62,29.0,19,18.801106350425236,353.4816,20.0,41.0,21.0,30.947568547075058,1.5707301142776646,28.25088248309606,2.169542858848733,7.755013395080168,0.5430706629238947,6.785986066489066,0.0356213017751479,0.0142011834319526,0.0057396449704142,0.0021301775147928,0.0009467455621301,0.0002366863905325,0.0001183431952662,0.0001183431952662,0.0,5.917159763313608e-05,2.053519845532481,2.8803863687783293,0.001,0.01,0.05,0.1,0.2,0.5,0.75,1.0,0.0,,,800,0.8,1.0,0.2879376366596627,34,329,2962,1018.2352941176472,1000.0,621.9522422947775,386824.5916955017,506.0,1344.25,838.25,1.0799608692546043,0.8875357962363366,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.001,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.001,9.966,14.2,14.2,17.557,17.557,2.693,2.693,4.837,1.771,0.854,4.837,2.961,2.212,5.77,5.238,4.902,198911.246576332,0.6550141015361256,228466.32436926052,0.6313758514440636,113811.49033786853,0.3145226186597582,144878.19001366044,0.4003766893352141,0.3215314097667038,0.917988583615389,0,28,23.06793206793207,3.370759350766506,0.6663180839957271,0.356091382324629,331.08102825228946,0,0.0,0.0,0,0.0,0,732,0.732,550,80,0.99992,0.1482002098056446,6769,0.8754635675804552,36,552,15.333333333333334,30.666666666666668,46,0.4380952380952381,0.5740740740740741,517,2,0.0555555555555555,0.0,0.8888888888888888,43.92613413413413
pdc2021_1100113.xes,1000,428,0.428,21446,3,188,21.446,6.0,3,27.096034470010554,734.1950840000001,4.0,32.0,28.0,10.63847172514054,3.2247765988338712,6.371338889427056,2.1114137271420117,5.537100395951878,1.2634539993476896,6.291897130547718,0.0358378378378378,0.0077837837837837,0.005027027027027,0.0024864864864864,0.0015135135135135,0.0005945945945945,0.0005945945945945,5.405405405405406e-05,5.405405405405406e-05,0.0001081081081081,2.4201745196736706,4.28863129565062,0.181,0.454,0.574,0.614,0.657,0.786,0.893,2.336448598130841,12.27522687628136,12.434802005187386,161.29566945091838,800,1.8691588785046729,0.8771479230043907,0.2711691677431159,51,36,1601,420.5098039215686,371.0,358.59335058022714,128589.19108035367,154.0,531.5,377.5,1.615236018309906,2.4626309827300297,6,1,955,166.66666666666666,6.5,352.6776935894239,124381.55555555558,3.0,23.5,20.5,1.7860452146296717,1.1948802710601043,0.014018691588785,10,1,506,100.0,8.5,181.43924603017948,32920.2,1.0,39.0,38.0,1.5294145187954404,0.4473748833927469,0.0233644859813084,6.366,11.908,12.59,17.365,17.449,1.734,1.977,5.219,0.806,0.654,5.219,2.402,1.708,4.594,4.128,3.84,74107.87371040955,0.5999557751326637,112631.7507980707,0.5265940366273139,56562.372962588815,0.2644494832810455,71571.04422685593,0.3346204317876736,0.7460970402146873,2.0417743193505404,0,38,12.94905094905095,10.914544164740803,0.6037979552854121,0.6317291016264371,142.8564125526992,10,0.01,0.01,1,1.0,1,461,0.461,305,196,0.9989300375578654,0.1914895342484121,3411,0.868657135564404,53,321,6.056603773584905,12.11320754716981,30,0.1164731494920174,0.8857244571021716,269,0,0.0,0.0,0.9622641509433962,34.15021021021021
pdc2022_0101103.xes,1000,264,0.264,4582,2,23,4.582,4.0,2,3.11500818618507,9.703276,2.0,6.0,4.0,3.713413238324947,1.8970782161569697,3.094005187078635,1.3531143642846146,2.443895107783966,0.6798359201626081,6.701539613154734,0.250952380952381,0.119047619047619,0.0528571428571428,0.0314285714285714,0.0095238095238095,0.008095238095238,0.0028571428571428,0.0004761904761904,0.0,0.0009523809523809,1.8466654320193383,2.1533831312811484,0.426,0.481,0.579,0.643,0.734,0.868,0.934,3.787878787878788,26.30518162546961,15.69027258447734,248.4479189729293,800,3.0303030303030303,0.8072013089566104,0.4068401363592762,13,58,1000,352.46153846153845,244.0,291.1543643934012,84770.86390532544,139.0,481.0,342.0,1.0504622839224669,-0.312390764110706,10,1,915,100.0,3.5,272.1124767444521,74045.2,1.25,10.0,8.75,2.650768900094597,5.059734287791974,0.0378787878787878,11,1,426,90.9090909090909,62.0,115.80112618816054,13409.90082644628,8.0,108.5,100.5,2.0583289279346064,3.489966752114462,0.0416666666666666,5.184,6.425,7.666,8.13,8.662,0.99,1.987,3.257,0.912,0.472,3.257,1.833,1.351,3.701,3.249,3.044,3689.129701196911,0.7901489566044176,15670.190373492078,0.405692739770943,7904.934352962134,0.2046544680648946,9959.7966291955,0.2578537392178012,0.6910781526166141,1.2346299755039194,0,9,4.015984015984016,2.0869568435589123,0.8764696673906627,0.5488623134916055,50.18848948325976,3,0.003,0.003,1,1.0,1,170,0.17,89,13,0.9998134756657484,0.2402479582478696,921,0.7475346177401712,15,110,7.333333333333333,14.666666666666666,25,0.5238095238095238,0.5111111111111111,96,0,0.0,0.0,0.8666666666666667,6.17947947947948
pdc_2020_1200001.xes,1000,1000,1.0,61208,15,344,61.208,53.0,27,35.22661970726116,1240.914736,36.0,80.0,44.0,52.51351372113008,1.750622223721756,44.90868112694931,1.5869146671303591,5.30248191426662,0.5755231294481303,6.759173378806523,0.0128875379939209,0.0099696048632218,0.0052583586626139,0.0015197568389057,0.0004863221884498,0.0002127659574468,3.0395136778115492e-05,0.0,0.0,3.0395136778115472e-05,1.2492386860531963,-0.053469472824239,0.001,0.01,0.05,0.1,0.2,0.5,0.75,1.0,0.0,,,800,0.8,1.0,0.2628204599676804,36,147,3920,1700.2222222222222,1629.0,1053.2791154588267,1109396.8950617283,997.5,2261.0,1263.5,0.4682618515109098,-0.6906985056584589,4,1,996,250.0,1.5,430.7034942974111,185505.5,1.0,250.5,249.5,1.1546974267675378,-0.6666690641264714,0.004,2,1,999,500.0,500.0,499.0,249001.0,250.5,749.5,499.0,0.0,-2.0,0.002,9.966,15.182,15.182,19.64,19.64,2.468,2.468,4.877,1.582,0.991,4.877,2.853,2.159,5.792,5.258,4.92,361349.9265709475,0.6162906376182857,404852.401405,0.6001044077884189,203497.4020311497,0.3016400236446188,257912.8831150861,0.3822989747514215,0.28002553002553,0.9781874738416366,0,35,25.91908091908092,4.423220622326201,0.4234590399797562,0.304160918672409,244.2229291243284,11,0.011,0.011,1,1.0,1,965,0.965,759,124,0.999876,0.2090652025722026,10239,0.8764415539667805,38,765,20.13157894736842,40.26315789473684,54,0.5440967283072546,0.4702216066481994,728,0,0.0,0.0,0.9473684210526316,79.83167167167167
pdc2021_0010002.xes,1000,266,0.266,12751,3,33,12.751,15.0,4,8.377529409079983,70.18299900000001,5.0,19.0,14.0,9.836783192572806,2.1238530972051253,7.518833643345366,0.3888412218305677,-1.1899762987644091,0.6570095999592176,6.685447503590025,0.0996666666666666,0.0606666666666666,0.0,0.004,0.0623333333333333,0.0383333333333333,0.026,0.024,0.0103333333333333,0.008,0.8639978853259869,-0.3035008792460201,0.2,0.294,0.547,0.663,0.768,0.867,0.933,3.7593984962406015,14.739670972924491,10.485813202773125,124.4975577513712,800,3.007518796992481,0.8082938788770223,0.4576432641337447,50,68,974,255.02,230.5,187.47090334235872,35145.33960000001,127.0,366.25,239.25,2.216405881619173,5.962492554634899,2,27,973,500.0,500.0,473.0,223729.0,263.5,736.5,473.0,0.0,-2.0,0.0075187969924812,8,2,513,125.0,7.5,184.3027400772978,33967.5,3.75,174.25,170.5,1.2080692594429132,-0.1726924638310136,0.0300751879699248,5.951,8.013,8.985,11.615,12.246,0.793,1.641,5.334,0.473,0.305,5.334,2.118,1.386,3.107,2.747,2.525,10366.149431763572,0.7095462681726805,45563.475869215305,0.3779951052001273,23401.10657746252,0.1941358417855857,29209.194376289477,0.2423198030977318,0.7452347652347653,1.0404509148732104,0,33,12.738261738261738,8.383027461842087,0.999000999000999,0.7012403692049209,180.45123898342737,0,0.0,0.0,0,0.0,0,0,0.0,138,112,0.998417095370004,0.2020301429675751,1858,0.8486387300758085,52,148,2.8461538461538463,5.6923076923076925,12,0.0558069381598793,0.9452662721893492,97,0,0.0,0.0,0.1538461538461538,17.400764764764766
pdc2022_1110004.xes,1000,229,0.229,6535,2,27,6.535,6.0,6,3.114285632372214,9.698775,5.0,8.0,3.0,5.8096052414725445,1.6637678214427585,5.036523901131941,1.283087213797315,3.7458685401313874,0.4765548021992676,6.799887506724748,0.062,0.1832,0.1052,0.0248,0.0132,0.0068,0.0036,0.0008,0.0,0.0004,1.5234140090770818,1.0502017077421435,0.119,0.193,0.612,0.714,0.79,0.885,0.942,4.366812227074236,13.0479779378282,5.572474279915739,34.965139238260726,800,3.493449781659389,0.7866118274466294,0.3853821173201702,16,170,1050,408.4375,260.0,280.4774876772644,78667.62109375,216.75,586.5,369.75,1.121280389187777,-0.3293304485055639,14,1,972,71.42857142857143,2.0,249.77867754294405,62389.38775510202,1.0,2.75,1.75,3.3279636875269234,9.075954388693056,0.0611353711790393,10,1,218,100.0,80.5,96.67057463364952,9345.2,2.75,204.5,201.75,0.0884758490773813,-1.8968787950076065,0.0436681222707423,5.797,6.315,8.064,8.634,9.729,0.731,1.951,3.704,0.77,0.665,3.704,1.824,1.358,3.566,3.207,2.935,4942.852845298643,0.7497968647571571,20595.70758163288,0.3587508487464915,10164.65174918736,0.1770552154025273,12943.017111747062,0.2254507817114525,0.6406093906093906,1.0708915467989928,0,10,5.750249750249751,2.0433763849354643,0.8799157995791508,0.622778297051447,72.162995921186,73,0.073,0.073,1,1.0,1,273,0.273,148,21,0.999599549970443,0.2178244511411654,1113,0.7533118866766603,18,172,9.555555555555555,19.11111111111111,29,0.5620915032679739,0.4691358024691358,155,0,0.0,0.0,0.8888888888888888,8.154354354354354
